#
# ROCS Version - 6.84
#
# Save/Restore:  EBIT_L130_2016_07_20_201229_014N006_4000kV.set
#
# NOTE:  Save set with beam to end of line. Scaled from last
# NOTE:  75Ga26+ through BTS33. Second set of quads in S-Bend were
# NOTE:  decreased, as that save seems to have neglected this
# NOTE:  beneficial change in optics. Energy only measured with
# NOTE:  D1155 dipole, and D1296 field was set, but cavity was not
# NOTE:  re-adjusted. Beam does go through all apertures but the
# NOTE:  last two in BTS33. Dipoles NOT cycled. Object and Image of
# NOTE:  beam (D1256/D1316) NOT optimized. Goal was just to verify
# NOTE:  scaling with 75Ga26+ tune could get beam to the end OK.
# NOTE:  Transmission from L044 to L110 is ~69%, from L044 to D1420
# NOTE:  is ~55%.
# 
# BEAM:  Energy:  4000  keV/u
# BEAM:  Driver:  DBC
# 
# BEAM:  Current Monitor           Current       % Ratio      % Source    Units
# ____________________________________________________________________________________________
# 
# BEAM:  L044                        295.0        Source        Source    picoAmps
# BEAM:  L053                        294.0         99.66         99.66    picoAmps
# BEAM:  L061                        268.0         91.16         90.85    picoAmps
# BEAM:  L080                        187.0         69.78         63.39    picoAmps
# BEAM:  L092                        197.0        105.35         66.78    picoAmps
# BEAM:  L110                        204.0        103.55         69.15    picoAmps
# ____________________________________________________________________________________________
# ____________________________________________________________________________________________
# 
# SET CHANNEL                     SET VALUE     READCHANNEL                           READBACK
# ____________________________________________________________________________________________
# 
L108RF_PHASE.SETV                     0.000     REA_CM01:RFC8_D1143:PHA_RD_CAV     304.1677856
L110-R.SETV                          40.000     L110-R                              40.0303590
L113DS_SETV                         134.320     L113DS_VAL                         133.9430000
L116YC-R_SETV                         0.000     L116YC-R.VAL                         0.0089354
L116YG-R_SETV                        40.000     L116YG-R.VAL                        40.0043515
L116QA_SETV                          81.969     L116QA_VAL                          81.8510000
L117QB_SETV                          96.613     L117QB_VAL                          96.6550000
L118DH_SETV                           8.451     L118DH_VAL                           8.4340000
L118DV_SETV                         -72.532     L118DV_VAL                         -72.6039963
L119QC_SETV                          99.435     L119QC_VAL                          99.2550000
L121QA_SETV                          99.435     L121QA_VAL                          99.3520000
L123QB_SETV                          96.613     L123QB_VAL                          96.4350000
L125QC_SETV                          81.969     L125QC_VAL                          81.8110000
L128DS_SETV                         133.332     L128DS_VAL                         132.8860000
L130-R_SETV                          90.000     L130-R_VAL                          90.0492603
#
# ====================== CHANNEL NAMES BELOW THIS LINE ARE NOT RESTORED ======================
#
LEBITHV.SETV                      27999.000     LEBITHV                          27964.9101562
EBITHV.SETV                       -3150.000     EBITHV                           -3149.1494141
REA_EBIT:DG_N0000:DSBL_CMD               ON     REA_EBIT:DG_N0000:DSBL_CMD                  ON
REA_EBIT:DG_N0000:TRGP_RCMD_SRC         Ext     REA_EBIT:DG_N0000:TRGP_SRC                   0
