L016MCP_SONV,REA_BTS09:PSM_D0864:ON_RSTS
L016MCP_STAS,REA_BTS09:PSM_D0864:STAS_RD
L016MCP_VAL,REA_BTS09:PSM_D0864:V_RD
L016MCP_VRISE,REA_BTS09:PSM_D0864:RRTE_CSET
L016MCP_V_RD,REA_BTS09:PSM_D0864:V_RD_UNSC
L016MCP_V_SET,REA_BTS09:PSM_D0864:V_CSET_UNSC
L016MCP_ZOFF,REA_BTS09:PSM_D0864:ZOFF_CSET
L016PG,REA_BTS10:FPG_D0864:VP_RD
L016PG_SP1,REA_BTS10:FPG_D0864:OK_RSTS_VP1
L016PG_SP2,REA_BTS10:FPG_D0864:OK_RSTS_VP2
L016PG_V,REA_BTS10:FPG_D0864:V_RD
L016PHOS,REA_BTS09:PSP_D0864:V_RD
L016PHOS_ATCE,REA_BTS09:PSP_D0864:ATDB_CSET
L016PHOS_ATPS,REA_BTS09:PSP_D0864:ATPS_RSTS
L016PHOS_CH2V,REA_BTS09:PSP_D0864:I_RD
L016PHOS_ILKV,REA_BTS09:PSP_D0864:ILK_RSTS
L016PHOS_INC,REA_BTS09:PSP_D0864:V_CSET_INC
L016PHOS_I_RD,REA_BTS09:PSP_D0864:I_RSET
L016PHOS_I_SET,REA_BTS09:PSP_D0864:I_CSET
L016PHOS_ON,_dev_REA_BTS09:PSP_D0864:ON_CMD
L016PHOS_OOV,REA_BTS09:PSP_D0864:ON_CMD
L016PHOS_POFF,REA_BTS09:PSP_D0864:POFF_CSET
L016PHOS_RESET,_dev_REA_BTS09:PSP_D0864:RST_CMD
L016PHOS_RSMS,REA_BTS09:PSP_D0864:RSMS_CSET
L016PHOS_RSSV,REA_BTS09:PSP_D0864:RSSV_CSET
L016PHOS_RSTV,REA_BTS09:PSP_D0864:RST_CMD
L016PHOS_RTZV,REA_BTS09:PSP_D0864:RTZ_CMD
L016PHOS_SETRB,REA_BTS09:PSP_D0864:V_RSET
L016PHOS_SETV,REA_BTS09:PSP_D0864:V_CSET
L016PHOS_SONV,REA_BTS09:PSP_D0864:ON_RSTS
L016PHOS_STAS,REA_BTS09:PSP_D0864:STAS_RD
L016PHOS_VAL,REA_BTS09:PSP_D0864:V_RD
L016PHOS_VRISE,REA_BTS09:PSP_D0864:RRTE_CSET
L016PHOS_V_RD,REA_BTS09:PSP_D0864:V_RD_UNSC
L016PHOS_V_SET,REA_BTS09:PSP_D0864:V_CSET_UNSC
L016PHOS_ZOFF,REA_BTS09:PSP_D0864:ZOFF_CSET
L016RV,REA_BTS10:RV_D0864:OPN_CMD
L016RV_CL,REA_BTS10:RV_D0864:LMCL_RSTS
L016RV_OP,REA_BTS10:RV_D0864:LMOP_RSTS
L016TP,REA_BTS10:TMP_D0864:FR_RD
L016TP_AS,REA_BTS10:TMP_D0864:OK_RSTS_S
L016TP_FT,REA_BTS10:TMP_D0864:FLT_RSTS
L016TP_ON,REA_BTS10:TMP_D0864:ON_CMD
L016TP_V,REA_BTS10:TMP_D0864:V_RD
L016VC,REA_BTS09:CAM_D0864:ON_CMD
L016VP,REA_BTS09:MCP_D0864:IN_CMD
L016VP_IL,REA_BTS09:MCP_D0864:LMIN_RSTS
L016VP_OL,REA_BTS09:MCP_D0864:LMOUT_RSTS
L016VV,REA_BTS10:VV_D0864:OPN_CMD
L016VV_OP,REA_BTS10:VV_D0864:OPN_RCMD
L017FV,REA_BTS10:FV_D0865:OPN_CMD
L017FV_CL,REA_BTS10:FV_D0865:LMCL_RSTS
L017FV_OP,REA_BTS10:FV_D0865:LMOP_RSTS
L017PG,REA_BTS10:PG_D0865:VP_RD
L017PG_SP1,REA_BTS10:PG_D0865:OK_RSTS_VP1
L017PG_SP2,REA_BTS10:PG_D0865:OK_RSTS_VP2
L017PG_V,REA_BTS10:PG_D0865:V_RD
L017RV,REA_BTS10:RV_D0865:OPN_CMD
L017RV_CL,REA_BTS10:RV_D0865:LMCL_RSTS
L017RV_OP,REA_BTS10:RV_D0865:LMOP_RSTS
L018DHE,REA_BTS10:DCH_D0869:V_RD
L018DHE_ILKV,REA_BTS10:DCH_D0869:ILK_RSTS
L018DHE_INC,REA_BTS10:DCH_D0869:V_CSET_INC
L018DHE_OOV,REA_BTS10:DCH_D0869:ON_CMD
L018DHE_RSTV,REA_BTS10:DCH_D0869:RST_CMD
L018DHE_SETRB,REA_BTS10:DCH_D0869:V_RSET
L018DHE_SETV,REA_BTS10:DCH_D0869:V_CSET
L018DHE_SONV,REA_BTS10:DCH_D0869:ON_RSTS
L018DHE_VAL,REA_BTS10:DCH_D0869:V_RD
L018DHI,REA_BTS09:DCH_D0869:V_RD
L018DHI_ILKV,REA_BTS09:DCH_D0869:ILK_RSTS
L018DHI_INC,REA_BTS09:DCH_D0869:V_CSET_INC
L018DHI_OOV,REA_BTS09:DCH_D0869:ON_CMD
L018DHI_RSTV,REA_BTS09:DCH_D0869:RST_CMD
L018DHI_SETRB,REA_BTS09:DCH_D0869:V_RSET
L018DHI_SETV,REA_BTS09:DCH_D0869:V_CSET
L018DHI_SONV,REA_BTS09:DCH_D0869:ON_RSTS
L018DHI_VAL,REA_BTS09:DCH_D0869:V_RD
L018DVE,REA_BTS10:DCV_D0869:V_RD
L018DVE_ILKV,REA_BTS10:DCV_D0869:ILK_RSTS
L018DVE_INC,REA_BTS10:DCV_D0869:V_CSET_INC
L018DVE_OOV,REA_BTS10:DCV_D0869:ON_CMD
L018DVE_RSTV,REA_BTS10:DCV_D0869:RST_CMD
L018DVE_SETRB,REA_BTS10:DCV_D0869:V_RSET
L018DVE_SETV,REA_BTS10:DCV_D0869:V_CSET
L018DVE_SONV,REA_BTS10:DCV_D0869:ON_RSTS
L018DVE_VAL,REA_BTS10:DCV_D0869:V_RD
L018DVI,REA_BTS09:DCV_D0869:V_RD
L018DVI_ILKV,REA_BTS09:DCV_D0869:ILK_RSTS
L018DVI_INC,REA_BTS09:DCV_D0869:V_CSET_INC
L018DVI_OOV,REA_BTS09:DCV_D0869:ON_CMD
L018DVI_RSTV,REA_BTS09:DCV_D0869:RST_CMD
L018DVI_SETRB,REA_BTS09:DCV_D0869:V_RSET
L018DVI_SETV,REA_BTS09:DCV_D0869:V_CSET
